,word,Bank,label
0,xxx-xxx402-2,scb,Account
1,xxx-xxx151-6,scb,Account
2,xxx-xxx492-4,scb,Account
3,xxx-xxx189-8,scb,Account
4,xxx-xxx387-0,scb,Account
5,xxx-xxx912-0,scb,Account
6,xxx-xxx155-0,scb,Account
7,xxx-xxx826-9,scb,Account
8,xxx-xxx368-8,scb,Account
9,xxx-xxx418-5,scb,Account
10,xxx-xxx210-6,scb,Account
11,xxx-xxx487-1,scb,Account
12,xxx-xxx581-2,scb,Account
13,xxx-xxx392-9,scb,Account
14,xxx-xxx753-4,scb,Account
15,xxx-xxx429-1,scb,Account
16,xxx-xxx667-8,scb,Account
17,xxx-xxx159-5,scb,Account
18,xxx-xxx750-7,scb,Account
19,xxx-xxx672-8,scb,Account
20,xxx-xxx846-6,scb,Account
21,xxx-xxx623-9,scb,Account
22,xxx-xxx919-9,scb,Account
23,xxx-xxx868-0,scb,Account
24,xxx-xxx459-8,scb,Account
25,xxx-xxx117-9,scb,Account
26,xxx-xxx922-4,scb,Account
27,xxx-xxx711-2,scb,Account
28,xxx-xxx236-6,scb,Account
29,xxx-xxx503-9,scb,Account
30,xxx-xxx385-1,scb,Account
31,xxx-xxx228-0,scb,Account
32,xxx-xxx447-5,scb,Account
33,xxx-xxx644-1,scb,Account
34,xxx-xxx865-2,scb,Account
35,xxx-xxx764-6,scb,Account
36,xxx-xxx017-5,scb,Account
37,xxx-xxx278-6,scb,Account
38,xxx-xxx211-2,scb,Account
39,xxx-xxx096-0,scb,Account
40,xxx-xxx983-3,scb,Account
41,xxx-xxx282-4,scb,Account
42,xxx-xxx719-5,scb,Account
43,xxx-xxx794-9,scb,Account
44,xxx-xxx704-8,scb,Account
45,xxx-xxx648-8,scb,Account
46,xxx-xxx680-3,scb,Account
47,xxx-xxx634-9,scb,Account
48,xxx-xxx737-5,scb,Account
49,xxx-xxx762-4,scb,Account
50,xxx-xxx774-7,scb,Account
51,xxx-xxx499-5,scb,Account
52,xxx-xxx085-7,scb,Account
53,xxx-xxx354-7,scb,Account
54,xxx-xxx841-3,scb,Account
55,xxx-xxx915-6,scb,Account
56,xxx-xxx124-3,scb,Account
57,xxx-xxx504-4,scb,Account
58,xxx-xxx610-7,scb,Account
59,xxx-xxx058-1,scb,Account
60,xxx-xxx773-7,scb,Account
61,xxx-xxx324-9,scb,Account
62,xxx-xxx092-5,scb,Account
63,xxx-xxx599-5,scb,Account
64,xxx-xxx853-2,scb,Account
65,xxx-xxx073-1,scb,Account
66,xxx-xxx722-4,scb,Account
67,xxx-xxx364-0,scb,Account
68,xxx-xxx722-4,scb,Account
69,xxx-xxx872-0,scb,Account
70,xxx-xxx619-3,scb,Account
71,xxx-xxx243-2,scb,Account
72,xxx-xxx347-7,scb,Account
73,xxx-xxx226-4,scb,Account
74,xxx-xxx545-9,scb,Account
75,xxx-xxx491-3,scb,Account
76,xxx-xxx151-3,scb,Account
77,xxx-xxx345-2,scb,Account
78,xxx-xxx700-5,scb,Account
79,xxx-xxx502-5,scb,Account
80,xxx-xxx023-8,scb,Account
81,xxx-xxx787-3,scb,Account
82,xxx-xxx150-4,scb,Account
83,xxx-xxx249-9,scb,Account
84,xxx-xxx166-0,scb,Account
85,xxx-xxx031-9,scb,Account
86,xxx-xxx398-1,scb,Account
87,xxx-xxx200-1,scb,Account
88,xxx-xxx513-4,scb,Account
89,xxx-xxx038-6,scb,Account
90,xxx-xxx228-2,scb,Account
91,xxx-xxx225-3,scb,Account
92,xxx-xxx578-1,scb,Account
93,xxx-xxx214-6,scb,Account
94,xxx-xxx377-0,scb,Account
95,xxx-xxx851-1,scb,Account
96,xxx-xxx444-8,scb,Account
97,xxx-xxx596-5,scb,Account
98,xxx-xxx894-9,scb,Account
99,xxx-xxx900-9,scb,Account
100,xxx-xxx544-7,scb,Account
101,xxx-xxx256-3,scb,Account
102,xxx-xxx148-3,scb,Account
103,xxx-xxx891-7,scb,Account
104,xxx-xxx724-4,scb,Account
105,xxx-xxx881-0,scb,Account
106,xxx-xxx662-8,scb,Account
107,xxx-xxx745-7,scb,Account
108,xxx-xxx858-2,scb,Account
109,xxx-xxx626-9,scb,Account
110,xxx-xxx681-5,scb,Account
111,xxx-xxx163-1,scb,Account
112,xxx-xxx896-7,scb,Account
113,xxx-xxx020-0,scb,Account
114,xxx-xxx752-7,scb,Account
115,xxx-xxx396-6,scb,Account
116,xxx-xxx333-5,scb,Account
117,xxx-xxx374-8,scb,Account
118,xxx-xxx251-9,scb,Account
119,xxx-xxx740-8,scb,Account
120,xxx-xxx185-5,scb,Account
121,xxx-xxx580-7,scb,Account
122,xxx-xxx126-2,scb,Account
123,xxx-xxx564-1,scb,Account
124,xxx-xxx546-9,scb,Account
125,xxx-xxx317-3,scb,Account
126,xxx-xxx758-0,scb,Account
127,xxx-xxx811-7,scb,Account
128,xxx-xxx117-2,scb,Account
129,xxx-xxx510-4,scb,Account
130,xxx-xxx875-8,scb,Account
131,xxx-xxx196-4,scb,Account
132,xxx-xxx448-5,scb,Account
133,xxx-xxx751-0,scb,Account
134,xxx-xxx401-4,scb,Account
135,xxx-xxx411-4,scb,Account
136,xxx-xxx916-2,scb,Account
137,xxx-xxx522-4,scb,Account
138,xxx-xxx305-4,scb,Account
139,xxx-xxx662-0,scb,Account
140,xxx-xxx763-4,scb,Account
141,xxx-xxx774-9,scb,Account
142,xxx-xxx856-7,scb,Account
143,xxx-xxx009-3,scb,Account
144,xxx-xxx260-7,scb,Account
145,xxx-xxx616-5,scb,Account
146,xxx-xxx020-5,scb,Account
147,xxx-xxx248-5,scb,Account
148,xxx-xxx491-6,scb,Account
149,xxx-xxx122-7,scb,Account
150,xxx-xxx961-4,scb,Account
151,xxx-xxx286-5,scb,Account
152,xxx-xxx414-2,scb,Account
153,xxx-xxx793-0,scb,Account
154,xxx-xxx498-2,scb,Account
155,xxx-xxx408-0,scb,Account
156,xxx-xxx936-7,scb,Account
157,xxx-xxx574-1,scb,Account
158,xxx-xxx354-7,scb,Account
159,xxx-xxx802-5,scb,Account
160,xxx-xxx068-2,scb,Account
161,xxx-xxx207-5,scb,Account
162,xxx-xxx645-5,scb,Account
163,xxx-xxx560-7,scb,Account
164,xxx-xxx464-8,scb,Account
165,xxx-xxx146-8,scb,Account
166,xxx-xxx889-1,scb,Account
167,xxx-xxx357-4,scb,Account
168,xxx-xxx387-7,scb,Account
169,xxx-xxx264-4,scb,Account
170,xxx-xxx622-8,scb,Account
171,xxx-xxx401-3,scb,Account
172,xxx-xxx043-8,scb,Account
173,xxx-xxx637-7,scb,Account
174,xxx-xxx422-4,scb,Account
175,xxx-xxx548-2,scb,Account
176,xxx-xxx363-5,scb,Account
177,xxx-xxx469-7,scb,Account
178,xxx-xxx309-3,scb,Account
179,xxx-xxx676-6,scb,Account
180,xxx-xxx288-8,scb,Account
181,xxx-xxx891-2,scb,Account
182,xxx-xxx443-9,scb,Account
183,xxx-xxx567-7,scb,Account
184,xxx-xxx676-3,scb,Account
185,xxx-xxx477-1,scb,Account
186,xxx-xxx104-3,scb,Account
187,xxx-xxx383-7,scb,Account
188,xxx-xxx066-9,scb,Account
189,xxx-xxx276-3,scb,Account
190,xxx-xxx637-6,scb,Account
191,xxx-xxx864-0,scb,Account
192,xxx-xxx341-0,scb,Account
193,xxx-xxx113-3,scb,Account
194,xxx-xxx397-2,scb,Account
195,xxx-xxx723-1,scb,Account
196,xxx-xxx318-0,scb,Account
197,xxx-xxx060-3,scb,Account
198,xxx-xxx751-2,scb,Account
199,xxx-xxx869-9,scb,Account
200,xxx-xxx835-9,scb,Account
201,xxx-xxx501-2,scb,Account
202,xxx-xxx048-7,scb,Account
203,xxx-xxx307-1,scb,Account
204,xxx-xxx110-5,scb,Account
205,xxx-xxx549-5,scb,Account
206,xxx-xxx144-0,scb,Account
207,xxx-xxx553-5,scb,Account
208,xxx-xxx196-4,scb,Account
209,xxx-xxx190-2,scb,Account
210,xxx-xxx123-2,scb,Account
211,xxx-xxx459-7,scb,Account
212,xxx-xxx026-5,scb,Account
213,xxx-xxx299-0,scb,Account
214,xxx-xxx705-8,scb,Account
215,xxx-xxx125-9,scb,Account
216,xxx-xxx433-9,scb,Account
217,xxx-xxx240-4,scb,Account
218,xxx-xxx986-9,scb,Account
219,xxx-xxx780-4,scb,Account
220,xxx-xxx961-5,scb,Account
221,xxx-xxx050-0,scb,Account
222,xxx-xxx995-1,scb,Account
223,xxx-xxx011-5,scb,Account
224,xxx-xxx993-9,scb,Account
225,xxx-xxx864-1,scb,Account
226,xxx-xxx575-9,scb,Account
227,xxx-xxx410-1,scb,Account
228,xxx-xxx594-8,scb,Account
229,xxx-xxx924-0,scb,Account
230,xxx-xxx062-8,scb,Account
