,word,Bank,label
0,0.00 THB,scb,NotUse
1,ธนาคารไทยพาณิชย์,scb,NotUse
2,ธนาคารทหารไทยธนชาต,scb,NotUse
3,ธนาคารกรุงไทย,scb,NotUse
4,ธนาคารกสิกรไทย,scb,NotUse
5,พร้อมเพย์,scb,NotUse
6,ธนาคารกรุงศรี,scb,NotUse
7,ธนาคารกรุงเทพ,scb,NotUse
8,โอนยอดที่เหลือ 2400 บาท รวมทั้งหมด 4800,scb,NotUse
9,บันทึกช่วยจำ,scb,NotUse
10,ข้อมูลเพิ่มเติมจากผู้ให้บริการ,scb,NotUse
11,ผู้รับเงินสามารถสแกนคิวอาร์,scb,NotUse
12,โค้ดนี้เพื่อตรวจสอบสถานะ,scb,NotUse
13,จำนวนเงิน,scb,NotUse
14,จ่ายบิลสำเร็จ,scb,NotUse
15,SCB,scb,NotUse
16,จาก,scb,NotUse
17,ไปยัง,scb,NotUse
18,Biller ID : ,scb,NotUse
19,ID,scb,NotUse
20,รหัสร้านค้า : ,scb,NotUse
21,รหัสธุรกรรม : ,scb,NotUse
22,Biller ID,scb,NotUse
23,รหัสร้านค้า,scb,NotUse
24,รหัสธุรกรรม,scb,NotUse
25,:,scb,NotUse
26,0.00 THB,bll,NotUse
27,ธนาคารไทยพาณิชย์,bll,NotUse
28,ธนาคารทหารไทยธนชาต,bll,NotUse
29,ธนาคารกรุงไทย,bll,NotUse
30,ธนาคารกสิกรไทย,bll,NotUse
31,พร้อมเพย์,bll,NotUse
32,ธนาคารกรุงศรี,bll,NotUse
33,ธนาคารกรุงเทพ,bll,NotUse
34,สแกนเพื่อตรวจสอบ,bll,NotUse
35,เลขที่อ้างอิง,bll,NotUse
36,หมายเลขอ้างอิง,bll,NotUse
37,SCB,bll,NotUse
38,หมายเลขอ้างอิง (ถ้ามี),bll,NotUse
39,รหัสอ้างอิงร้านค้า (ถ้ามี),bll,NotUse
40,รหัสร้านค้า,bll,NotUse
41,Biller ID,bll,NotUse
42,Biller ID:,bll,NotUse
43,ไปที่,bll,NotUse
44,จาก,bll,NotUse
45,HAPPY,bll,NotUse
46,SONGKRAN,bll,NotUse
47,FESTIVAL,bll,NotUse
48,จำนวนเงิน,bll,NotUse
49,รายการสำเร็จ,bll,NotUse
50,ค่าธรรมเนียม 0.00 THB,bll,NotUse
51,ค่าธรรมเนียม,bll,NotUse
52,โอนเงินสําเร็จ,bll,NotUse
53,ค่าธรรมเนียม:,bll,NotUse
54,ธ.กสิกรไทย,bll,NotUse
55,ค่าธรรมเนียม0.00THB,bll,NotUse
56,เลขที่รายการ:,bll,NotUse
57,แล,bll,NotUse
58,cle,bll,NotUse
59,ดีแทคเติมเงิน,bll,NotUse
60,Null,bll,NotUse
61,as,bll,NotUse
62,krungsri,bll,NotUse
63,เลขที่รายการ:im,bll,NotUse
64,krungsri,bll,NotUse
65,1Hor,bll,NotUse
66,1glabalfinancialgroups,bll,NotUse
67,จํานวน:,bll,NotUse
68,จ่ายบิลสําเร็จ;,bll,NotUse
69,ชาระดวยQRสาแรจ,bll,NotUse
70,"ก,?",bll,NotUse
71,เลขที่รายการ:,bll,NotUse
72,cle,bll,NotUse
73,เลขที่รายการ:,bll,NotUse
74,XXX-X-X4403-x,bll,NotUse
75,Null,bll,NotUse
76,004-999-0-%%%%144-8,bll,NotUse
77,กรงศรี,bll,NotUse
78,เลขที่รายการ:,bll,NotUse
79,cle,bll,NotUse
80,จํานวน:I,bll,NotUse
81,krungsri,bll,NotUse
82,Barista2U,bll,NotUse
83,Null,bll,NotUse
84,Null,bll,NotUse
85,ON,bll,NotUse
86,cis,bll,NotUse
87,ธ.กสิกรไทย,bll,NotUse
88,Null,bll,NotUse
89,ธ.กสิกรไทย,bll,NotUse
90,ธ.กสิกรไทย,bll,NotUse
91,กรงศรี,bll,NotUse
92,Null,bll,NotUse
93,Null,bll,NotUse
94,เติมเงินสําเร็จg,bll,NotUse
95,ชําระด้วยQRสําเร็จ,bll,NotUse
96,ธ.กสิกรไทย,bll,NotUse
97,เละญี,bll,NotUse
98,ธ.กรุงไทย,bll,NotUse
99,ค่าธรรมเนียม:oneoH,bll,NotUse
100,Null,bll,NotUse
101,krungsri,bll,NotUse
102,คอ0000000009076206,bll,NotUse
103,Null,bll,NotUse
104,nancialgroup,bll,NotUse
