,word,Bank,label
0,2025122012faUI1b9TBgSUwIzB,scb,RefCode
1,202309151qNqU5ZsL6ElkNGQAr,scb,RefCode
2,202112056qkt85eHm5mC6ajx8u,scb,RefCode
3,202506312WNJoXoD382D9a7ech,scb,RefCode
4,202003087opCwmd2xUlhAaUp25,scb,RefCode
5,202308206WClZOtrGvOSZNKXzj,scb,RefCode
6,202406224WQlGxCA197UO76LHm,scb,RefCode
7,202101077FrP6bjPZHnnKBdMRo,scb,RefCode
8,202504217nlRktVJzCsewYXLCt,scb,RefCode
9,2021072960l6LNi0U8DTSB2xGr,scb,RefCode
10,2024032423XS7QBEIOFhDB6Z1e,scb,RefCode
11,202012062pQVSHHGMVx5qjeeKC,scb,RefCode
12,202010295AmUbswtx3vvkRziRB,scb,RefCode
13,202404310L6jEnuhNGaNgRArMk,scb,RefCode
14,202106142agruWgiLqrShOtHBk,scb,RefCode
15,202412289AWlWjM6XASBfUvLmq,scb,RefCode
16,202010157waCbCau72oBtRAOiz,scb,RefCode
17,2020050746bdjkVO3ex38Zi1qC,scb,RefCode
18,202101022cStyTK7dWeuFyJcmm,scb,RefCode
19,202311171sBObazyCPQcDcvL1f,scb,RefCode
20,202007165lp3FsLM5ZALn7k0M0,scb,RefCode
21,202103316SUQtd3Lo3wq1Ph8K9,scb,RefCode
22,202005279EXpGFYsMaAx1eK7cx,scb,RefCode
23,202004216zXBzcyKyYBOMbGqS0,scb,RefCode
24,202401182Q1k34nbVToYkVUMau,scb,RefCode
25,202411271lkGFVejwinpJg06G6,scb,RefCode
26,202508266TrqyzsuIHIFWPjT4w,scb,RefCode
27,202411236EykwSO0VmAjPO3oIP,scb,RefCode
28,202007099cuVltEUvv4LPzt1DC,scb,RefCode
29,202502011vzAp5MCsF2emecsmo,scb,RefCode
30,202407309NHP45z68dkcvhARNY,scb,RefCode
31,202511280Ps8NRqqgalPc9YOTj,scb,RefCode
32,202406137X6vMgsfBon4KE92Av,scb,RefCode
33,202410059kNpkwkVOaC8OP1s1e,scb,RefCode
34,202310092pqCtUqz7CUIvkbsui,scb,RefCode
35,202506067EGWGtZoK4DCf30jGe,scb,RefCode
36,202002170l635pSHmiZs9lXimu,scb,RefCode
37,202002270NqsFXRjMirLupQPbg,scb,RefCode
38,202003117wi3bYQIaNUKSFplWA,scb,RefCode
39,2025111717dIo4JTGTAiOMFGMY,scb,RefCode
40,202112153O0AOV5MPirOdasPTP,scb,RefCode
41,2020082309JNqIAzfygnMpA5Qh,scb,RefCode
42,202506266uE0JqvfdQZ1SJcUzk,scb,RefCode
43,2024081954MkvBF2TetQhXpWlU,scb,RefCode
44,202311216xkViGGqugcx21aduV,scb,RefCode
45,202104164EhGQP0ETjpnFwegbL,scb,RefCode
46,202008270iZlup6C0BwayUC6G5,scb,RefCode
47,202401280GzQ3pxD05XcY8irxE,scb,RefCode
48,202404281azo4nqinQfCyVLUZf,scb,RefCode
49,202304081jyAnfCbJrOyH8T2oa,scb,RefCode
50,202510031hdbpLRF73N9RTlAas,scb,RefCode
51,202101074l9uOJobWUNWZZC5RC,scb,RefCode
52,2024071371H2nFcIi1zUMcwXxR,scb,RefCode
53,2021102717hybdRJJoGuxDJ0qf,scb,RefCode
54,202103250gvU5aCt14fz8v9YqV,scb,RefCode
55,202311184U4yqubCBUrQuZqPQL,scb,RefCode
56,202103206menm6sQHtpoCg75iy,scb,RefCode
57,202008261NCmHpk1UsI91AI4sE,scb,RefCode
58,202512075ELZhl9FJU1A216GzQ,scb,RefCode
59,202003131hiLU92xxbX7oaRiu9,scb,RefCode
60,202309274BNmsZyOTfjqjr03FH,scb,RefCode
61,202506154p04ELjhaJ1N7FKZeT,scb,RefCode
62,20200210763bn6NF8VLjmJjbv1,scb,RefCode
63,202501081ebFMVmqjs9DvZdo2P,scb,RefCode
64,202007214WB13pwXcekdLuwZCs,scb,RefCode
65,2020100276xEAbcTOogEAEa56M,scb,RefCode
66,202305317k8AjfAnFcgdynmwVS,scb,RefCode
67,202305083MT7fjJGV7by5Fa06H,scb,RefCode
68,202302303XoWUo4S8GeibP8rrN,scb,RefCode
69,202006106BE7Rs8TXNi40GbaaD,scb,RefCode
70,2021022181TLcMN6jxAOsH9IK9,scb,RefCode
71,202508161IdWQPAe2ds1A5qpea,scb,RefCode
72,202505174UE3LXydImuOuChHU3,scb,RefCode
73,202012131DpOxWgHD03cE2Mpxw,scb,RefCode
74,202102184Dqke6ggGKAzvItru3,scb,RefCode
75,202405066CvSg74q6RTvSzyqzH,scb,RefCode
76,202106237CW3tcVSVT13NgutF9,scb,RefCode
77,20231030193G316btN9Cut9MI0,scb,RefCode
78,202506047IQgHJWTZzwSePPQEB,scb,RefCode
79,202101026IRFGW6GD6O7ZTcGzq,scb,RefCode
80,202502049Mge8wdWnYGJRWLSg2,scb,RefCode
81,202505121r1cqPfmpOEVPGZFpQ,scb,RefCode
82,20210607571X3H1LBaTbbVsh9G,scb,RefCode
83,202303275KN7wa98GaXbG1g6Wq,scb,RefCode
84,202309276LVkH21bTuUaCEuTAs,scb,RefCode
85,202305082ApFsFbci0s4boxsuC,scb,RefCode
86,202110016Af7NQsKi8DlYEwt8s,scb,RefCode
87,2021112003C4SK3LCF2RT0DTa8,scb,RefCode
88,202011065eo9HsgfvUoIAXn2Ez,scb,RefCode
89,202503248EfoexIqbjGdLCjzxv,scb,RefCode
90,202111050gC9dxBI2wFbLGTvSV,scb,RefCode
91,202005269Cm2sVP4Nmt6SSJnZZ,scb,RefCode
92,202402171aUHyA8DmsTvE1gwEj,scb,RefCode
93,202306117S6nUC0l8xD4ng9woc,scb,RefCode
94,202510201rrgclmjMKzaf4KBcl,scb,RefCode
95,202006015SLzmXvhh4zdNf8w7M,scb,RefCode
96,202008054EE8pS0aH1f68Xxq1I,scb,RefCode
97,202005265Y5jMGwPR0J6Cr6F4x,scb,RefCode
98,202502227vzgXSbx4hUBVB9gww,scb,RefCode
99,202112219mUv2BNvKqmqvBIyb9,scb,RefCode
100,202005230BiVLeUP5MWDwSxQMg,scb,RefCode
101,202506010Vq22HQQ59h7nBs8AX,scb,RefCode
102,202401030pEuPpIEH7rxDe8Kgs,scb,RefCode
103,202304071kGfsluC72hqlkr0Xg,scb,RefCode
104,2020111070tIryK0nv5aYIUVpl,scb,RefCode
105,202109177NYNPv40SA9VNcZ7xT,scb,RefCode
106,2024050997Fo6do3HkrkaIuPiZ,scb,RefCode
107,202008065xZNg5votNcyCOfWtk,scb,RefCode
108,202312021NLAdhVk09rmBQ1viG,scb,RefCode
109,202103073X1Vuoabfrh1maqY5J,scb,RefCode
110,202411155MCdhCeaebanpbFxbU,scb,RefCode
111,202310048k9r2ldgwjlknqIRI7,scb,RefCode
112,202501278X6iy78rEMPo5sttqC,scb,RefCode
113,202008108p36TDDf2fRcqmW7Kp,scb,RefCode
114,202008160VgOdFXZFXzDUU0jUL,scb,RefCode
